accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
3,1.0,2.0,3,31,5.0,5,5.0,18,39,112,0.0
4,2.0,4.0,60,1125,4.86,0,4.88,4,4,164,1.0
4,2.0,2.0,30,1125,4.71,0,4.64,1,8,283,0.0
3,1.0,1.0,2,3,4.91,0,4.93,0,0,0,0.0
6,2.0,2.0,30,120,4.71,1,4.58,9,39,129,0.0
2,1.0,3.0,3,1125,4.9,2,4.97,8,38,38,0.0
4,1.0,2.0,1,1125,4.93,1,4.94,12,20,238,0.0
6,2.0,2.0,2,90,4.69,4,4.86,20,35,107,1.0
4,1.0,1.0,1,1125,4.89,1,4.93,8,15,244,0.0
16,6.0,9.0,2,365,4.87,1,4.93,18,33,292,1.0
6,3.0,3.0,2,365,4.71,12,4.86,36,66,336,1.0
6,3.0,4.0,2,365,4.86,10,4.91,30,48,301,1.0
10,4.0,7.0,2,365,4.95,2,5.0,21,44,297,1.0
2,1.0,1.0,2,7,4.93,4,4.95,27,50,50,0.0
2,1.0,1.0,2,7,4.97,10,4.97,25,48,48,0.0
8,3.0,4.0,2,28,5.0,6,5.0,23,49,124,1.0
5,2.0,3.0,2,1125,4.85,8,4.92,24,51,316,1.0
2,1.0,1.0,30,1125,4.5,0,4.5,0,0,228,0.0
2,1.0,1.0,2,1125,4.86,0,4.83,9,18,18,0.0
4,1.0,2.0,3,1125,4.81,8,4.9,38,68,158,0.0
7,3.0,4.0,3,1125,4.93,11,4.95,36,61,334,1.0
4,2.0,2.0,1,1125,4.9,1,4.96,19,46,123,0.0
6,3.0,4.0,2,21,4.94,6,4.98,31,59,232,1.0
6,3.0,3.0,2,365,4.82,13,4.94,38,51,320,1.0
8,3.0,5.0,2,1125,4.7,1,5.0,18,41,309,1.0
8,3.0,3.0,1,15,4.91,9,4.94,27,48,138,1.0
2,1.0,1.0,1,365,5.0,15,4.5,42,55,73,1.0
2,1.0,1.0,30,1125,4.88,1,4.75,1,1,251,0.0
3,2.0,2.0,1,1125,4.95,2,4.96,2,2,2,0.0
2,1.0,1.0,1,365,5.0,18,5.0,30,37,38,1.0
2,1.0,1.0,1,365,5.0,11,5.0,29,42,42,1.0
2,1.0,1.0,2,28,5.0,1,4.99,1,1,7,0.0
2,1.0,1.0,1,1125,4.88,14,4.91,37,67,333,1.0
2,1.0,1.0,14,1125,5.0,1,4.94,1,22,88,0.0
3,1.0,2.0,1,21,4.99,3,4.97,13,30,288,1.0
2,1.0,1.0,1,1125,4.98,8,5.0,31,57,325,1.0
2,1.0,2.0,2,1125,4.91,14,4.97,31,59,326,0.0
2,1.0,1.0,1,1125,4.99,7,5.0,26,49,319,1.0
2,1.0,1.0,1,1125,4.96,12,4.97,35,65,330,1.0
4,2.0,3.0,3,31,4.95,2,4.97,21,40,51,1.0
2,1.0,1.0,30,1125,4.89,0,4.44,5,27,237,0.0
2,1.0,2.0,30,30,5.0,0,4.67,30,34,72,0.0
4,1.0,2.0,2,90,4.96,9,4.98,32,50,118,0.0
6,3.0,4.0,2,1125,4.38,0,4.25,0,0,160,1.0
2,1.0,1.0,1,7,4.97,0,5.0,0,0,0,0.0
15,4.0,7.0,2,1125,4.85,11,4.8,32,52,317,1.0
4,2.0,2.0,21,1125,5.0,0,5.0,1,7,102,0.0
4,2.0,2.0,2,30,4.87,16,4.92,38,68,76,1.0
2,1.0,1.0,2,31,4.85,14,4.94,41,71,335,1.0
4,2.0,3.0,2,21,4.86,3,4.95,17,33,263,1.0
2,1.0,1.0,2,31,4.9,9,4.96,29,56,320,1.0
4,1.0,2.0,2,21,4.93,1,4.95,19,45,116,0.0
4,2.0,2.0,1,21,4.96,10,4.94,31,54,228,1.0
4,2.0,2.0,1,21,4.97,7,4.98,29,54,234,1.0
6,2.0,4.0,1,365,4.97,1,4.99,11,15,252,1.0
4,2.0,2.0,2,1125,4.82,6,4.65,29,54,306,1.0
4,2.0,2.0,1,365,4.94,5,5.0,16,20,272,1.0
8,3.0,4.0,2,1125,4.76,6,4.93,27,54,325,1.0
14,3.0,9.0,1,365,4.94,7,4.92,14,32,285,1.0
6,3.0,3.0,2,1125,4.95,14,5.0,44,71,331,1.0
